"FIN","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"18.01.2018 22:00 - 18.01.2018 23:00","11398","11749"
"18.01.2018 23:00 - 19.01.2018 00:00","11194","11228"
"19.01.2018 00:00 - 19.01.2018 01:00","10864","10918"
"19.01.2018 01:00 - 19.01.2018 02:00","10663","10684"
"19.01.2018 02:00 - 19.01.2018 03:00","10588","10707"
"19.01.2018 03:00 - 19.01.2018 04:00","10671","10852"
"19.01.2018 04:00 - 19.01.2018 05:00","11042","11279"
"19.01.2018 05:00 - 19.01.2018 06:00","11878","12192"
"19.01.2018 06:00 - 19.01.2018 07:00","12337","12670"
"19.01.2018 07:00 - 19.01.2018 08:00","12564","12956"
"19.01.2018 08:00 - 19.01.2018 09:00","12500","12781"
"19.01.2018 09:00 - 19.01.2018 10:00","12442","12764"
"19.01.2018 10:00 - 19.01.2018 11:00","12457","12736"
"19.01.2018 11:00 - 19.01.2018 12:00","12430","12674"
"19.01.2018 12:00 - 19.01.2018 13:00","12299","12589"
"19.01.2018 13:00 - 19.01.2018 14:00","12199","12500"
"19.01.2018 14:00 - 19.01.2018 15:00","12209","12507"
"19.01.2018 15:00 - 19.01.2018 16:00","12361","12716"
"19.01.2018 16:00 - 19.01.2018 17:00","12510","12757"
"19.01.2018 17:00 - 19.01.2018 18:00","12484","12686"
"19.01.2018 18:00 - 19.01.2018 19:00","12393","12743"
"19.01.2018 19:00 - 19.01.2018 20:00","12218","12556"
"19.01.2018 20:00 - 19.01.2018 21:00","11708","12079"
"19.01.2018 21:00 - 19.01.2018 22:00","11730","12093"
"19.01.2018 22:00 - 19.01.2018 23:00","11496","11831"
"19.01.2018 23:00 - 20.01.2018 00:00","11330","11344"
"20.01.2018 00:00 - 20.01.2018 01:00","11015","11012"
"20.01.2018 01:00 - 20.01.2018 02:00","10789","10784"
"20.01.2018 02:00 - 20.01.2018 03:00","10723","10663"
"20.01.2018 03:00 - 20.01.2018 04:00","10696","10674"
"20.01.2018 04:00 - 20.01.2018 05:00","10770","10793"
"20.01.2018 05:00 - 20.01.2018 06:00","10981","11090"
"20.01.2018 06:00 - 20.01.2018 07:00","11069","11260"
"20.01.2018 07:00 - 20.01.2018 08:00","11376","11641"
"20.01.2018 08:00 - 20.01.2018 09:00","11433","11707"
"20.01.2018 09:00 - 20.01.2018 10:00","11525","11792"
"20.01.2018 10:00 - 20.01.2018 11:00","11545","11844"
"20.01.2018 11:00 - 20.01.2018 12:00","11546","11870"
"20.01.2018 12:00 - 20.01.2018 13:00","11515","11842"
"20.01.2018 13:00 - 20.01.2018 14:00","11478","11743"
"20.01.2018 14:00 - 20.01.2018 15:00","11586","11859"
"20.01.2018 15:00 - 20.01.2018 16:00","11976","12234"
"20.01.2018 16:00 - 20.01.2018 17:00","12294","12569"
"20.01.2018 17:00 - 20.01.2018 18:00","12354","12727"
"20.01.2018 18:00 - 20.01.2018 19:00","12268","12608"
"20.01.2018 19:00 - 20.01.2018 20:00","11917","12219"
"20.01.2018 20:00 - 20.01.2018 21:00","11512","11792"
"20.01.2018 21:00 - 20.01.2018 22:00","11652","12019"
"20.01.2018 22:00 - 20.01.2018 23:00","11516","11881"
"20.01.2018 23:00 - 21.01.2018 00:00","11422","11395"
"21.01.2018 00:00 - 21.01.2018 01:00","11154","11061"
"21.01.2018 01:00 - 21.01.2018 02:00","10957","10852"
"21.01.2018 02:00 - 21.01.2018 03:00","10866","10773"
"21.01.2018 03:00 - 21.01.2018 04:00","10847","10788"
"21.01.2018 04:00 - 21.01.2018 05:00","10890","10880"
"21.01.2018 05:00 - 21.01.2018 06:00","11043","11027"
"21.01.2018 06:00 - 21.01.2018 07:00","11067","11107"
"21.01.2018 07:00 - 21.01.2018 08:00","11290","11414"
"21.01.2018 08:00 - 21.01.2018 09:00","11336","11484"
"21.01.2018 09:00 - 21.01.2018 10:00","11508","11703"
"21.01.2018 10:00 - 21.01.2018 11:00","11671","11793"
"21.01.2018 11:00 - 21.01.2018 12:00","11731","11855"
"21.01.2018 12:00 - 21.01.2018 13:00","11688","11790"
"21.01.2018 13:00 - 21.01.2018 14:00","11613","11746"
"21.01.2018 14:00 - 21.01.2018 15:00","11655","11745"
"21.01.2018 15:00 - 21.01.2018 16:00","12014","12130"
"21.01.2018 16:00 - 21.01.2018 17:00","12216","12448"
"21.01.2018 17:00 - 21.01.2018 18:00","12284","12505"
"21.01.2018 18:00 - 21.01.2018 19:00","12288","12598"
"21.01.2018 19:00 - 21.01.2018 20:00","12115","12399"
"21.01.2018 20:00 - 21.01.2018 21:00","11777","11985"
"21.01.2018 21:00 - 21.01.2018 22:00","11971","12301"
"21.01.2018 22:00 - 21.01.2018 23:00","11850","12151"
"21.01.2018 23:00 - 22.01.2018 00:00","11855","11747"
"22.01.2018 00:00 - 22.01.2018 01:00","11557","11408"
"22.01.2018 01:00 - 22.01.2018 02:00","11316","11251"
"22.01.2018 02:00 - 22.01.2018 03:00","11209","11243"
"22.01.2018 03:00 - 22.01.2018 04:00","11264","11357"
"22.01.2018 04:00 - 22.01.2018 05:00","11624","11790"
"22.01.2018 05:00 - 22.01.2018 06:00","12510","12692"
"22.01.2018 06:00 - 22.01.2018 07:00","12957","13009"
"22.01.2018 07:00 - 22.01.2018 08:00","13141","13231"
"22.01.2018 08:00 - 22.01.2018 09:00","13048","13047"
"22.01.2018 09:00 - 22.01.2018 10:00","12903","12979"
"22.01.2018 10:00 - 22.01.2018 11:00","12833","13109"
"22.01.2018 11:00 - 22.01.2018 12:00","12799","13150"
"22.01.2018 12:00 - 22.01.2018 13:00","12709","13056"
"22.01.2018 13:00 - 22.01.2018 14:00","12671","13052"
"22.01.2018 14:00 - 22.01.2018 15:00","12687","13098"
"22.01.2018 15:00 - 22.01.2018 16:00","12869","13272"
"22.01.2018 16:00 - 22.01.2018 17:00","13045","13468"
"22.01.2018 17:00 - 22.01.2018 18:00","13009","13392"
"22.01.2018 18:00 - 22.01.2018 19:00","13024","13466"
"22.01.2018 19:00 - 22.01.2018 20:00","12886","13330"
"22.01.2018 20:00 - 22.01.2018 21:00","12435","12867"
"22.01.2018 21:00 - 22.01.2018 22:00","12476","12956"
"22.01.2018 22:00 - 22.01.2018 23:00","12260","12747"
"22.01.2018 23:00 - 23.01.2018 00:00","12385","12265"
"23.01.2018 00:00 - 23.01.2018 01:00","12086","11829"
"23.01.2018 01:00 - 23.01.2018 02:00","11874","11740"
"23.01.2018 02:00 - 23.01.2018 03:00","11817","11780"
"23.01.2018 03:00 - 23.01.2018 04:00","11901","11932"
"23.01.2018 04:00 - 23.01.2018 05:00","12290","12319"
"23.01.2018 05:00 - 23.01.2018 06:00","13167","13231"
"23.01.2018 06:00 - 23.01.2018 07:00","13576","13494"
"23.01.2018 07:00 - 23.01.2018 08:00","13701","13669"
"23.01.2018 08:00 - 23.01.2018 09:00","13527","13528"
"23.01.2018 09:00 - 23.01.2018 10:00","13411","13471"
"23.01.2018 10:00 - 23.01.2018 11:00","13333","13475"
"23.01.2018 11:00 - 23.01.2018 12:00","13301","13473"
"23.01.2018 12:00 - 23.01.2018 13:00","13118","13402"
"23.01.2018 13:00 - 23.01.2018 14:00","12973","13347"
"23.01.2018 14:00 - 23.01.2018 15:00","12927","13329"
"23.01.2018 15:00 - 23.01.2018 16:00","13037","13387"
"23.01.2018 16:00 - 23.01.2018 17:00","13176","13517"
"23.01.2018 17:00 - 23.01.2018 18:00","13065","13427"
"23.01.2018 18:00 - 23.01.2018 19:00","12975","13460"
"23.01.2018 19:00 - 23.01.2018 20:00","12707","13298"
"23.01.2018 20:00 - 23.01.2018 21:00","12136","12692"
"23.01.2018 21:00 - 23.01.2018 22:00","12031","12619"
"23.01.2018 22:00 - 23.01.2018 23:00","11720","12391"
"23.01.2018 23:00 - 24.01.2018 00:00","11721","11929"
"24.01.2018 00:00 - 24.01.2018 01:00","11271","11576"
"24.01.2018 01:00 - 24.01.2018 02:00","10982","11410"
"24.01.2018 02:00 - 24.01.2018 03:00","10851","11442"
"24.01.2018 03:00 - 24.01.2018 04:00","10911","11506"
"24.01.2018 04:00 - 24.01.2018 05:00","11261","11838"
"24.01.2018 05:00 - 24.01.2018 06:00","12143","12576"
"24.01.2018 06:00 - 24.01.2018 07:00","12558","12802"
"24.01.2018 07:00 - 24.01.2018 08:00","12621","12949"
"24.01.2018 08:00 - 24.01.2018 09:00","12426","12854"
"24.01.2018 09:00 - 24.01.2018 10:00","12330","12814"
"24.01.2018 10:00 - 24.01.2018 11:00","12316","12774"
"24.01.2018 11:00 - 24.01.2018 12:00","12308","12700"
"24.01.2018 12:00 - 24.01.2018 13:00","12200","12586"
"24.01.2018 13:00 - 24.01.2018 14:00","12121","12459"
"24.01.2018 14:00 - 24.01.2018 15:00","12074","12411"
"24.01.2018 15:00 - 24.01.2018 16:00","12169","12639"
"24.01.2018 16:00 - 24.01.2018 17:00","12311","12692"
"24.01.2018 17:00 - 24.01.2018 18:00","12220","12694"
"24.01.2018 18:00 - 24.01.2018 19:00","12167","12626"
"24.01.2018 19:00 - 24.01.2018 20:00","11948","12360"
"24.01.2018 20:00 - 24.01.2018 21:00","11416","11769"
"24.01.2018 21:00 - 24.01.2018 22:00","11372","11771"
"24.01.2018 22:00 - 24.01.2018 23:00","11111","11503"
"24.01.2018 23:00 - 25.01.2018 00:00","10636","11044"
"25.01.2018 00:00 - 25.01.2018 01:00","10287","10632"
"25.01.2018 01:00 - 25.01.2018 02:00","10052","10385"
"25.01.2018 02:00 - 25.01.2018 03:00","9957","10351"
"25.01.2018 03:00 - 25.01.2018 04:00","9984","10387"
"25.01.2018 04:00 - 25.01.2018 05:00","10327","10678"
"25.01.2018 05:00 - 25.01.2018 06:00","11181","11434"
"25.01.2018 06:00 - 25.01.2018 07:00","11618","11840"
"25.01.2018 07:00 - 25.01.2018 08:00","11773","11940"
"25.01.2018 08:00 - 25.01.2018 09:00","11649","11615"
"25.01.2018 09:00 - 25.01.2018 10:00","11598","11527"
"25.01.2018 10:00 - 25.01.2018 11:00","11582","11528"
"25.01.2018 11:00 - 25.01.2018 12:00","11602","11522"
"25.01.2018 12:00 - 25.01.2018 13:00","11554","11512"
"25.01.2018 13:00 - 25.01.2018 14:00","11536","11490"
"25.01.2018 14:00 - 25.01.2018 15:00","11527","11464"
"25.01.2018 15:00 - 25.01.2018 16:00","11673","11629"
"25.01.2018 16:00 - 25.01.2018 17:00","11847","11808"
"25.01.2018 17:00 - 25.01.2018 18:00","11823","11864"
"25.01.2018 18:00 - 25.01.2018 19:00","11792","11837"
"25.01.2018 19:00 - 25.01.2018 20:00","11633","11603"
"25.01.2018 20:00 - 25.01.2018 21:00","11138","11099"
"25.01.2018 21:00 - 25.01.2018 22:00","11113","11164"
"25.01.2018 22:00 - 25.01.2018 23:00","10869","10858"
"25.01.2018 23:00 - 26.01.2018 00:00","10083","10313"
"26.01.2018 00:00 - 26.01.2018 01:00","9738","9998"
"26.01.2018 01:00 - 26.01.2018 02:00","9546","9907"
"26.01.2018 02:00 - 26.01.2018 03:00","9531","9880"
"26.01.2018 03:00 - 26.01.2018 04:00","9669","9911"
"26.01.2018 04:00 - 26.01.2018 05:00","10122","10333"
"26.01.2018 05:00 - 26.01.2018 06:00","11107","11214"
"26.01.2018 06:00 - 26.01.2018 07:00","11603","11776"
"26.01.2018 07:00 - 26.01.2018 08:00","11786","11945"
"26.01.2018 08:00 - 26.01.2018 09:00","11720","11720"
"26.01.2018 09:00 - 26.01.2018 10:00","11720","11673"
"26.01.2018 10:00 - 26.01.2018 11:00","11723","11672"
"26.01.2018 11:00 - 26.01.2018 12:00","11644","11624"
"26.01.2018 12:00 - 26.01.2018 13:00","11544","11602"
"26.01.2018 13:00 - 26.01.2018 14:00","11451","11551"
"26.01.2018 14:00 - 26.01.2018 15:00","11466","11497"
"26.01.2018 15:00 - 26.01.2018 16:00","11672","11698"
"26.01.2018 16:00 - 26.01.2018 17:00","11933","11772"
"26.01.2018 17:00 - 26.01.2018 18:00","11916","11737"
"26.01.2018 18:00 - 26.01.2018 19:00","11815","11707"
"26.01.2018 19:00 - 26.01.2018 20:00","11540","11520"
"26.01.2018 20:00 - 26.01.2018 21:00","11052","11017"
"26.01.2018 21:00 - 26.01.2018 22:00","11080","11018"
"26.01.2018 22:00 - 26.01.2018 23:00","10809","10806"
"26.01.2018 23:00 - 27.01.2018 00:00","10133","10246"
"27.01.2018 00:00 - 27.01.2018 01:00","9808","9924"
"27.01.2018 01:00 - 27.01.2018 02:00","9605","9612"
"27.01.2018 02:00 - 27.01.2018 03:00","9462","9547"
"27.01.2018 03:00 - 27.01.2018 04:00","9495","9626"
"27.01.2018 04:00 - 27.01.2018 05:00","9681","9726"
"27.01.2018 05:00 - 27.01.2018 06:00","9973","10034"
"27.01.2018 06:00 - 27.01.2018 07:00","10116","10167"
"27.01.2018 07:00 - 27.01.2018 08:00","10447","10443"
"27.01.2018 08:00 - 27.01.2018 09:00","10553","10517"
"27.01.2018 09:00 - 27.01.2018 10:00","10658","10678"
"27.01.2018 10:00 - 27.01.2018 11:00","10688","10796"
"27.01.2018 11:00 - 27.01.2018 12:00","10694","10770"
"27.01.2018 12:00 - 27.01.2018 13:00","10685","10753"
"27.01.2018 13:00 - 27.01.2018 14:00","10687","10780"
"27.01.2018 14:00 - 27.01.2018 15:00","10828","10855"
"27.01.2018 15:00 - 27.01.2018 16:00","11214","11219"
"27.01.2018 16:00 - 27.01.2018 17:00","11693","11662"
"27.01.2018 17:00 - 27.01.2018 18:00","11818","11781"
"27.01.2018 18:00 - 27.01.2018 19:00","11662","11652"
"27.01.2018 19:00 - 27.01.2018 20:00","11285","11248"
"27.01.2018 20:00 - 27.01.2018 21:00","10879","10800"
"27.01.2018 21:00 - 27.01.2018 22:00","11142","10914"
"27.01.2018 22:00 - 27.01.2018 23:00","10980","10738"
"27.01.2018 23:00 - 28.01.2018 00:00","10445","10340"
"28.01.2018 00:00 - 28.01.2018 01:00","10152","9995"
"28.01.2018 01:00 - 28.01.2018 02:00","9903","9745"
"28.01.2018 02:00 - 28.01.2018 03:00","9798","9714"
"28.01.2018 03:00 - 28.01.2018 04:00","9822","9736"
"28.01.2018 04:00 - 28.01.2018 05:00","9864","9770"
"28.01.2018 05:00 - 28.01.2018 06:00","9994","9980"
"28.01.2018 06:00 - 28.01.2018 07:00","10016","10102"
"28.01.2018 07:00 - 28.01.2018 08:00","10266","10322"
"28.01.2018 08:00 - 28.01.2018 09:00","10343","10422"
"28.01.2018 09:00 - 28.01.2018 10:00","10505","10548"
"28.01.2018 10:00 - 28.01.2018 11:00","10603","10610"
"28.01.2018 11:00 - 28.01.2018 12:00","10661","10663"
"28.01.2018 12:00 - 28.01.2018 13:00","10586","10638"
"28.01.2018 13:00 - 28.01.2018 14:00","10500","10648"
"28.01.2018 14:00 - 28.01.2018 15:00","10559","10709"
"28.01.2018 15:00 - 28.01.2018 16:00","10880","10968"
"28.01.2018 16:00 - 28.01.2018 17:00","11175","11282"
"28.01.2018 17:00 - 28.01.2018 18:00","11231","11343"
"28.01.2018 18:00 - 28.01.2018 19:00","11197","11384"
"28.01.2018 19:00 - 28.01.2018 20:00","11022","11106"
"28.01.2018 20:00 - 28.01.2018 21:00","10679","10706"
"28.01.2018 21:00 - 28.01.2018 22:00","10928","10999"
"28.01.2018 22:00 - 28.01.2018 23:00","10809","10881"
"28.01.2018 23:00 - 29.01.2018 00:00","10406","10471"
"29.01.2018 00:00 - 29.01.2018 01:00","10134","10162"
"29.01.2018 01:00 - 29.01.2018 02:00","9943","10032"
"29.01.2018 02:00 - 29.01.2018 03:00","9952","9957"
"29.01.2018 03:00 - 29.01.2018 04:00","10055","10023"
"29.01.2018 04:00 - 29.01.2018 05:00","10457","10439"
"29.01.2018 05:00 - 29.01.2018 06:00","11358","11314"
"29.01.2018 06:00 - 29.01.2018 07:00","11879","11869"
"29.01.2018 07:00 - 29.01.2018 08:00","12041","11945"
"29.01.2018 08:00 - 29.01.2018 09:00","11947","11828"
"29.01.2018 09:00 - 29.01.2018 10:00","11855","11798"
"29.01.2018 10:00 - 29.01.2018 11:00","11801","11806"
"29.01.2018 11:00 - 29.01.2018 12:00","11753","11801"
"29.01.2018 12:00 - 29.01.2018 13:00","11662","11724"
"29.01.2018 13:00 - 29.01.2018 14:00","11649","11767"
"29.01.2018 14:00 - 29.01.2018 15:00","11655","11670"
"29.01.2018 15:00 - 29.01.2018 16:00","11818","11789"
"29.01.2018 16:00 - 29.01.2018 17:00","12029","11958"
"29.01.2018 17:00 - 29.01.2018 18:00","12024","11862"
"29.01.2018 18:00 - 29.01.2018 19:00","12012","11890"
"29.01.2018 19:00 - 29.01.2018 20:00","11845","11669"
"29.01.2018 20:00 - 29.01.2018 21:00","11387","11146"
"29.01.2018 21:00 - 29.01.2018 22:00","11438","11237"
"29.01.2018 22:00 - 29.01.2018 23:00","11192","11043"
"29.01.2018 23:00 - 30.01.2018 00:00","10501","10665"
"30.01.2018 00:00 - 30.01.2018 01:00","10208","10291"
"30.01.2018 01:00 - 30.01.2018 02:00","10056","10093"
"30.01.2018 02:00 - 30.01.2018 03:00","10041","10044"
"30.01.2018 03:00 - 30.01.2018 04:00","10139","10182"
"30.01.2018 04:00 - 30.01.2018 05:00","10520","10525"
"30.01.2018 05:00 - 30.01.2018 06:00","11366","11374"
"30.01.2018 06:00 - 30.01.2018 07:00","11810","11920"
"30.01.2018 07:00 - 30.01.2018 08:00","11952","12051"
"30.01.2018 08:00 - 30.01.2018 09:00","11840","11909"
"30.01.2018 09:00 - 30.01.2018 10:00","11822","11968"
"30.01.2018 10:00 - 30.01.2018 11:00","11864","11977"
"30.01.2018 11:00 - 30.01.2018 12:00","11926","11940"
"30.01.2018 12:00 - 30.01.2018 13:00","11897","11886"
"30.01.2018 13:00 - 30.01.2018 14:00","11936","11847"
"30.01.2018 14:00 - 30.01.2018 15:00","11923","11866"
"30.01.2018 15:00 - 30.01.2018 16:00","12070","12024"
"30.01.2018 16:00 - 30.01.2018 17:00","12290","12429"
"30.01.2018 17:00 - 30.01.2018 18:00","12331","12446"
"30.01.2018 18:00 - 30.01.2018 19:00","12344","12466"
"30.01.2018 19:00 - 30.01.2018 20:00","12196","12247"
"30.01.2018 20:00 - 30.01.2018 21:00","11777","11624"
"30.01.2018 21:00 - 30.01.2018 22:00","11806","11605"
"30.01.2018 22:00 - 30.01.2018 23:00","11607","11386"
"30.01.2018 23:00 - 31.01.2018 00:00","11116","10933"
"31.01.2018 00:00 - 31.01.2018 01:00","10845","10608"
"31.01.2018 01:00 - 31.01.2018 02:00","10695","10437"
"31.01.2018 02:00 - 31.01.2018 03:00","10679","10380"
"31.01.2018 03:00 - 31.01.2018 04:00","10779","10468"
"31.01.2018 04:00 - 31.01.2018 05:00","11152","10920"
"31.01.2018 05:00 - 31.01.2018 06:00","12020","11739"
"31.01.2018 06:00 - 31.01.2018 07:00","12486","12225"
"31.01.2018 07:00 - 31.01.2018 08:00","12616","12393"
"31.01.2018 08:00 - 31.01.2018 09:00","12466","12272"
"31.01.2018 09:00 - 31.01.2018 10:00","12412","12256"
"31.01.2018 10:00 - 31.01.2018 11:00","12385","12128"
"31.01.2018 11:00 - 31.01.2018 12:00","12365","12066"
"31.01.2018 12:00 - 31.01.2018 13:00","12275","11995"
"31.01.2018 13:00 - 31.01.2018 14:00","12273","11991"
"31.01.2018 14:00 - 31.01.2018 15:00","12205","11960"
"31.01.2018 15:00 - 31.01.2018 16:00","12308","12106"
"31.01.2018 16:00 - 31.01.2018 17:00","12556","12379"
"31.01.2018 17:00 - 31.01.2018 18:00","12545","12506"
"31.01.2018 18:00 - 31.01.2018 19:00","12535","12567"
"31.01.2018 19:00 - 31.01.2018 20:00","12352","12310"
"31.01.2018 20:00 - 31.01.2018 21:00","11868","11753"
"31.01.2018 21:00 - 31.01.2018 22:00","11870","11761"
"31.01.2018 22:00 - 31.01.2018 23:00","11622","11556"
"31.01.2018 23:00 - 01.02.2018 00:00","11014","11058"
"01.02.2018 00:00 - 01.02.2018 01:00","10702","10734"
"01.02.2018 01:00 - 01.02.2018 02:00","10517","10572"
"01.02.2018 02:00 - 01.02.2018 03:00","10457","10519"
"01.02.2018 03:00 - 01.02.2018 04:00","10544","10558"
"01.02.2018 04:00 - 01.02.2018 05:00","10912","11021"
"01.02.2018 05:00 - 01.02.2018 06:00","11722","11907"
"01.02.2018 06:00 - 01.02.2018 07:00","12142","12361"
"01.02.2018 07:00 - 01.02.2018 08:00","12243","12522"
"01.02.2018 08:00 - 01.02.2018 09:00","12149","12422"
"01.02.2018 09:00 - 01.02.2018 10:00","12105","12460"
"01.02.2018 10:00 - 01.02.2018 11:00","12091","12625"
"01.02.2018 11:00 - 01.02.2018 12:00","12094","12586"
"01.02.2018 12:00 - 01.02.2018 13:00","12041","12473"
"01.02.2018 13:00 - 01.02.2018 14:00","12067","12387"
"01.02.2018 14:00 - 01.02.2018 15:00","12060","12353"
"01.02.2018 15:00 - 01.02.2018 16:00","12185","12407"
"01.02.2018 16:00 - 01.02.2018 17:00","12405","12724"
"01.02.2018 17:00 - 01.02.2018 18:00","12407","12701"
"01.02.2018 18:00 - 01.02.2018 19:00","12396","12712"
"01.02.2018 19:00 - 01.02.2018 20:00","12225","12419"
"01.02.2018 20:00 - 01.02.2018 21:00","11772","11840"
"01.02.2018 21:00 - 01.02.2018 22:00","11813","11939"
"01.02.2018 22:00 - 01.02.2018 23:00","11610","11657"
"01.02.2018 23:00 - 02.02.2018 00:00","11101","11202"
"02.02.2018 00:00 - 02.02.2018 01:00","10809","10920"
"02.02.2018 01:00 - 02.02.2018 02:00","10647","10684"
"02.02.2018 02:00 - 02.02.2018 03:00","10604","10617"
"02.02.2018 03:00 - 02.02.2018 04:00","10696","10653"
"02.02.2018 04:00 - 02.02.2018 05:00","11042","10879"
"02.02.2018 05:00 - 02.02.2018 06:00","11832","11475"
"02.02.2018 06:00 - 02.02.2018 07:00","12261","11813"
"02.02.2018 07:00 - 02.02.2018 08:00","12387","11913"
"02.02.2018 08:00 - 02.02.2018 09:00","12364","11824"
"02.02.2018 09:00 - 02.02.2018 10:00","12382","11868"
"02.02.2018 10:00 - 02.02.2018 11:00","12417","11903"
"02.02.2018 11:00 - 02.02.2018 12:00","12366","11802"
"02.02.2018 12:00 - 02.02.2018 13:00","12293","11702"
"02.02.2018 13:00 - 02.02.2018 14:00","12243","11611"
"02.02.2018 14:00 - 02.02.2018 15:00","12210","11597"
"02.02.2018 15:00 - 02.02.2018 16:00","12308","11610"
"02.02.2018 16:00 - 02.02.2018 17:00","12528","11976"
"02.02.2018 17:00 - 02.02.2018 18:00","12546","11925"
"02.02.2018 18:00 - 02.02.2018 19:00","12443","12035"
"02.02.2018 19:00 - 02.02.2018 20:00","12230","11840"
"02.02.2018 20:00 - 02.02.2018 21:00","11831","11286"
"02.02.2018 21:00 - 02.02.2018 22:00","11827","11494"
"02.02.2018 22:00 - 02.02.2018 23:00","11621","11283"
"02.02.2018 23:00 - 03.02.2018 00:00","10673","10864"
"03.02.2018 00:00 - 03.02.2018 01:00","10411","10515"
"03.02.2018 01:00 - 03.02.2018 02:00","10249","10325"
"03.02.2018 02:00 - 03.02.2018 03:00","10198","10251"
"03.02.2018 03:00 - 03.02.2018 04:00","10235","10258"
"03.02.2018 04:00 - 03.02.2018 05:00","10349","10365"
"03.02.2018 05:00 - 03.02.2018 06:00","10602","10869"
"03.02.2018 06:00 - 03.02.2018 07:00","10740","11114"
"03.02.2018 07:00 - 03.02.2018 08:00","10927","11328"
"03.02.2018 08:00 - 03.02.2018 09:00","11078","11530"
"03.02.2018 09:00 - 03.02.2018 10:00","11183","11720"
"03.02.2018 10:00 - 03.02.2018 11:00","11267","11717"
"03.02.2018 11:00 - 03.02.2018 12:00","11287","11685"
"03.02.2018 12:00 - 03.02.2018 13:00","11311","11711"
"03.02.2018 13:00 - 03.02.2018 14:00","11353","11677"
"03.02.2018 14:00 - 03.02.2018 15:00","11430","11736"
"03.02.2018 15:00 - 03.02.2018 16:00","11690","11921"
"03.02.2018 16:00 - 03.02.2018 17:00","12112","12554"
"03.02.2018 17:00 - 03.02.2018 18:00","12283","12777"
"03.02.2018 18:00 - 03.02.2018 19:00","12169","12701"
"03.02.2018 19:00 - 03.02.2018 20:00","11859","12382"
"03.02.2018 20:00 - 03.02.2018 21:00","11565","11957"
"03.02.2018 21:00 - 03.02.2018 22:00","11698","12190"
"03.02.2018 22:00 - 03.02.2018 23:00","11580","12123"
"03.02.2018 23:00 - 04.02.2018 00:00","11662","11732"
"04.02.2018 00:00 - 04.02.2018 01:00","11334","11418"
"04.02.2018 01:00 - 04.02.2018 02:00","11084","11278"
"04.02.2018 02:00 - 04.02.2018 03:00","11032","11226"
"04.02.2018 03:00 - 04.02.2018 04:00","11005","11216"
"04.02.2018 04:00 - 04.02.2018 05:00","11024","11352"
"04.02.2018 05:00 - 04.02.2018 06:00","11158","11616"
"04.02.2018 06:00 - 04.02.2018 07:00","11178","11600"
"04.02.2018 07:00 - 04.02.2018 08:00","11310","11687"
"04.02.2018 08:00 - 04.02.2018 09:00","11431","11934"
"04.02.2018 09:00 - 04.02.2018 10:00","11615","12183"
"04.02.2018 10:00 - 04.02.2018 11:00","11733","12224"
"04.02.2018 11:00 - 04.02.2018 12:00","11736","12081"
"04.02.2018 12:00 - 04.02.2018 13:00","11586","11947"
"04.02.2018 13:00 - 04.02.2018 14:00","11435","11825"
"04.02.2018 14:00 - 04.02.2018 15:00","11390","11869"
"04.02.2018 15:00 - 04.02.2018 16:00","11607","12000"
"04.02.2018 16:00 - 04.02.2018 17:00","12029","12531"
"04.02.2018 17:00 - 04.02.2018 18:00","12251","12789"
"04.02.2018 18:00 - 04.02.2018 19:00","12356","12787"
